StationKey,Type,LocationName,ID,Zip,ZipID,Latitude,Longitude,City,State,Country,AirportRank
SABA,Station,SABA,SABA,44,ZIP: 44,null,null,COLORADO SPRINGS,null,United States,null
ISPA,Station,COPA,COPA,501,ZIP: 501,null,null,HOLTSVILLE,null,United States,null
ISPA,Station,COPA,COPA,544,ZIP: 544,null,null,HOLTSVILLE,null,United States,null
PSEA,Station,PSEA,PSEA,601,ZIP: 601,18.18005,-66.75218,ADJUNTAS,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,602,ZIP: 602,18.36074,-67.17519,AGUADA,Puerto Rico,United States,null
AREA,Station,AREA,AREA,603,ZIP: 603,18.4544,-67.12201,AGUADILLA,Puerto Rico,United States,null
AREA,Station,AREA,AREA,604,ZIP: 604,null,null,AGUADILLA,null,United States,null
AREA,Station,AREA,AREA,605,ZIP: 605,null,null,AGUADILLA,null,United States,null
MAZA,Station,MAZA,MAZA,606,ZIP: 606,18.16721,-66.93828,MARICAO,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,610,ZIP: 610,18.29032,-67.12244,ANASCO,Puerto Rico,United States,null
AREA,Station,AREA,AREA,611,ZIP: 611,null,null,ANGELES,null,United States,null
AREA,Station,AREA,AREA,612,ZIP: 612,18.40699,-66.70805,ARECIBO,Puerto Rico,United States,null
AREA,Station,AREA,AREA,613,ZIP: 613,null,null,ARECIBO,null,United States,null
AREA,Station,AREA,AREA,614,ZIP: 614,null,null,ARECIBO,null,United States,null
AREA,Station,AREA,AREA,616,ZIP: 616,18.41752,-66.66814,BAJADERO,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,617,ZIP: 617,18.44125,-66.55916,BARCELONETA,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,622,ZIP: 622,17.99174,-67.15248,BOQUERON,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,623,ZIP: 623,18.08354,-67.15418,CABO ROJO,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,624,ZIP: 624,18.06465,-66.71823,PENUELAS,Puerto Rico,United States,null
AREA,Station,AREA,AREA,627,ZIP: 627,18.419,-66.86033,CAMUY,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,631,ZIP: 631,18.18555,-66.83327,CASTANER,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,636,ZIP: 636,null,null,ROSARIO,null,United States,null
PSEA,Station,PSEA,PSEA,637,ZIP: 637,18.0798,-66.94274,SABANA GRANDE,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,638,ZIP: 638,18.28905,-66.5151,CIALES,Puerto Rico,United States,null
AREA,Station,AREA,AREA,641,ZIP: 641,18.26408,-66.71376,UTUADO,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,646,ZIP: 646,18.43401,-66.2833,DORADO,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,647,ZIP: 647,17.96612,-66.94383,ENSENADA,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,650,ZIP: 650,18.34321,-66.58601,FLORIDA,Puerto Rico,United States,null
AREA,Station,AREA,AREA,652,ZIP: 652,18.45542,-66.60635,GARROCHALES,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,653,ZIP: 653,17.98572,-66.89031,ENSENADA,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,654,ZIP: 654,null,null,SAN JUAN,null,United States,null
PSEA,Station,PSEA,PSEA,655,ZIP: 655,null,null,GUAYAMA,null,United States,null
PSEA,Station,PSEA,PSEA,656,ZIP: 656,18.05281,-66.79182,GUAYANILLA,Puerto Rico,United States,null
AREA,Station,AREA,AREA,659,ZIP: 659,18.41069,-66.79648,HATILLO,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,660,ZIP: 660,18.13419,-67.11403,HORMIGUEROS,Puerto Rico,United States,null
AREA,Station,AREA,AREA,662,ZIP: 662,18.46208,-67.01444,ISABELA,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,664,ZIP: 664,18.21151,-66.5889,JAYUYA,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,667,ZIP: 667,18.01227,-67.0409,LA PARGUERA,Puerto Rico,United States,null
AREA,Station,AREA,AREA,669,ZIP: 669,18.27102,-66.86982,LARES,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,670,ZIP: 670,18.23776,-66.98875,LAS MARIAS,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,674,ZIP: 674,18.42123,-66.49003,MANATI,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,676,ZIP: 676,18.37789,-67.08084,MOCA,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,677,ZIP: 677,18.3357,-67.23168,RINCON,Puerto Rico,United States,null
AREA,Station,AREA,AREA,678,ZIP: 678,18.4327,-66.92813,QUEBRADILLAS,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,680,ZIP: 680,18.16328,-67.36192,MAYAGUEZ,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,681,ZIP: 681,null,null,MAYAGUEZ,null,United States,null
MAZA,Station,MAZA,MAZA,682,ZIP: 682,18.22118,-67.15381,MAYAGUEZ,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,683,ZIP: 683,18.10998,-67.0373,SAN GERMAN,Puerto Rico,United States,null
MAZA,Station,MAZA,MAZA,685,ZIP: 685,18.33625,-66.97225,SAN SEBASTIAN,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,687,ZIP: 687,18.31708,-66.4203,MOROVIS,Puerto Rico,United States,null
AREA,Station,AREA,AREA,688,ZIP: 688,18.38056,-66.62425,SABANA HOYOS,Puerto Rico,United States,null
AREA,Station,AREA,AREA,690,ZIP: 690,18.49563,-67.09822,SAN ANTONIO,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,692,ZIP: 692,18.40845,-66.33691,VEGA ALTA,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,693,ZIP: 693,18.42132,-66.40012,VEGA BAJA,Puerto Rico,United States,null
SIGA,Station,SIGA,SIGA,694,ZIP: 694,18.48329,-66.39261,VEGA BAJA,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,698,ZIP: 698,18.06727,-66.85273,YAUCO,Puerto Rico,United States,null
NRRA,Station,FAJA,FAJA,703,ZIP: 703,18.24843,-66.13117,AGUAS BUENAS,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,704,ZIP: 704,17.96719,-66.22013,AGUIRRE,Puerto Rico,United States,null
NRRA,Station,FAJA,FAJA,705,ZIP: 705,18.12946,-66.26477,AIBONITO,Puerto Rico,United States,null
NRRA,Station,FAJA,FAJA,707,ZIP: 707,18.01813,-65.922,MAUNABO,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,714,ZIP: 714,17.99854,-66.05606,ARROYO,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,715,ZIP: 715,18.01174,-66.55987,MERCEDITA,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,716,ZIP: 716,17.99942,-66.60014,PONCE,Puerto Rico,United States,null
PSEA,Station,PSEA,PSEA,717,ZIP: 717,18.00342,-66.61325,PONCE,Puerto Rico,United States,null
